Stockticker,Date,Number of Searches,Region
AAPL,03/06/2021,11.94444444,IN
AAPL,03/06/2021,40.72777778,US
AAPL,03/06/2021,11.13888889,GB
AAPL,03/06/2021,7.677777778,AU
AAPL,03/06/2021,12.03888889,JP
AAPL,04/06/2021,13.18333333,IN
AAPL,04/06/2021,38.13333333,US
AAPL,04/06/2021,10.79444444,GB
AAPL,04/06/2021,5.972222222,AU
AAPL,04/06/2021,13.02222222,JP
AAPL,05/06/2021,12.05,IN
AAPL,05/06/2021,24.16666667,US
AAPL,05/06/2021,16.85555556,GB
AAPL,05/06/2021,9.466666667,AU
AAPL,05/06/2021,9.672222222,JP
AAPL,06/06/2021,12.81564246,IN
AAPL,06/06/2021,44.61452514,US
AAPL,06/06/2021,7.977653631,GB
AAPL,06/06/2021,4.329608939,AU
AAPL,06/06/2021,8.346368715,JP
AAPL,14/06/2021,7.227777778,IN
AAPL,14/06/2021,52.98333333,US
AAPL,14/06/2021,7.827777778,GB
AAPL,14/06/2021,3.05,AU
AAPL,14/06/2021,9.594444444,JP
